"Date","Promotion","Event","EventName","EventType","Location","CityTown","StateProvince","Country"
2021-04-30,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1132","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-29,"WWE","WWE NXT UK","WWE NXT UK #142","Televised","London, England, UK","London","England","UK"
2021-04-27,"WWE","WWE NXT","WWE NXT #574","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-27,"WWE","WWE 205 Live","WWE 205 Live #229","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-26,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1457","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-26,"WWE","WWE Main Event","WWE Main Event #448","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-23,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1131","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-22,"WWE","WWE NXT UK","WWE NXT UK #141","Televised","London, England, UK","London","England","UK"
2021-04-20,"WWE","WWE NXT","WWE NXT #573","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-20,"WWE","WWE 205 Live","WWE 205 Live #228","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-19,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1456","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-19,"WWE","WWE Main Event","WWE Main Event #447","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-16,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1130","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-15,"WWE","WWE NXT UK","WWE NXT UK #140","Televised","London, England, UK","London","England","UK"
2021-04-13,"WWE","WWE NXT","WWE NXT #572","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-13,"WWE","WWE 205 Live","WWE 205 Live #227","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-12,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1455","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-12,"WWE","WWE Main Event","WWE Main Event #446","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-11,"WWE","WWE WrestleMania","WWE WrestleMania 37","PLE/PPV","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-10,"WWE","WWE WrestleMania","WWE WrestleMania 37","PLE/PPV","Tampa, Florida, USA","Tampa","Florida","USA"
2021-04-09,"WWE","WWE 205 Live","WWE 205 Live #226","Televised","USA","USA","USA","USA"
2021-04-08,"WWE","WWE NXT UK","WWE NXT UK #139 - Prelude","Televised","London, England, UK","London","England","UK"
2021-04-08,"WWE","WWE NXT TakeOver: Stand & Deliver","WWE NXT TakeOver: Stand & Deliver 2021 Pre-Show","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-08,"WWE","WWE NXT TakeOver: Stand & Deliver","WWE NXT TakeOver: Stand & Deliver 2021","PLE/PPV","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-07,"WWE","WWE NXT TakeOver: Stand & Deliver","WWE NXT TakeOver: Stand & Deliver 2021 Pre-Show","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-07,"WWE","WWE NXT TakeOver: Stand & Deliver","WWE NXT TakeOver: Stand & Deliver 2021","PLE/PPV","Orlando, Florida, USA","Orlando","Florida","USA"
2021-04-02,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1128","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-04-01,"WWE","WWE NXT UK","WWE NXT UK #138","Televised","London, England, UK","London","England","UK"
2021-04-01,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1129 - WrestleMania SmackDown","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-31,"WWE","WWE NXT","WWE NXT #571","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-03-31,"WWE","WWE 205 Live","WWE 205 Live #225","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-03-30,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1454","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-30,"WWE","WWE Main Event","WWE Main Event #445","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-29,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1453","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-29,"WWE","WWE Main Event","WWE Main Event #444","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-26,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1127","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-25,"WWE","WWE NXT UK","WWE NXT UK #137","Televised","London, England, UK","London","England","UK"
2021-03-24,"WWE","WWE NXT","WWE NXT #570","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
