"Index","Date","Promotion","Match","CageMatchRating","CageMatchRatingVotes","WONStarRating","Opponent.1","Opponent.2"
6477,2024-04-30,"WWE","Akam & Rezar vs. Axiom & Nathan Frazer",6.35,84,NA,"Akam & Rezar","Axiom & Nathan Frazer"
6476,2024-04-30,"WWE","Ridge Holland vs. Shawn Spears",4.19,66,NA,"Ridge Holland","Shawn Spears"
6475,2024-04-30,"WWE","Jacy Jayne vs. Thea Hail",5.43,69,NA,"Jacy Jayne","Thea Hail"
6474,2024-04-30,"WWE","Lola Vice vs. Natalya",6.67,101,NA,"Lola Vice","Natalya"
6473,2024-04-30,"WWE","Ivar vs. Oba Femi",7.13,119,NA,"Ivar","Oba Femi"
6472,2024-04-30,"WWE","Channing Lorenzo & Luca Crusifino vs. Dante Chen & Dion Lennox",NA,NA,NA,"Channing Lorenzo & Luca Crusifino","Dante Chen & Dion Lennox"
6471,2024-04-29,"WWE","Chelsea Green & Piper Niven vs. Katana Chance & Kayden Carter",NA,NA,NA,"Chelsea Green & Piper Niven","Katana Chance & Kayden Carter"
6470,2024-04-29,"WWE","Angel    & Berto  vs. Brutus Creed & Julius Creed",NA,NA,NA,"Angel    & Berto","Brutus Creed & Julius Creed"
6469,2024-04-29,"WWE","Gunther vs. Xavier Woods",7.16,152,NA,"Gunther","Xavier Woods"
6468,2024-04-29,"WWE","Bronson Reed vs. Sami Zayn",5.86,115,NA,"Bronson Reed","Sami Zayn"
6467,2024-04-29,"WWE","Liv Morgan vs. Nia Jax",6.21,124,NA,"Liv Morgan","Nia Jax"
6466,2024-04-29,"WWE","Andrade, Jey Uso & Ricochet vs. Damian Priest, Finn Balor & JD McDonagh",6.31,116,NA,"Andrade, Jey Uso & Ricochet","Damian Priest, Finn Balor & JD McDonagh"
6465,2024-04-26,"WWE","Angel    & Berto  vs. Dragon Lee   & Rey Mysterio",4.28,107,NA,"Angel    & Berto","Dragon Lee   & Rey Mysterio"
6464,2024-04-26,"WWE","Naomi vs. Tiffany Stratton",4.47,104,NA,"Naomi","Tiffany Stratton"
6463,2024-04-26,"WWE","Carmelo Hayes vs. Cody Rhodes",6.2,153,NA,"Carmelo Hayes","Cody Rhodes"
6462,2024-04-23,"WWE","Fallon Henley vs. Jaida Parker",5.2,96,NA,"Fallon Henley","Jaida Parker"
6461,2024-04-23,"WWE","Channing Lorenzo, Luca Crusifino & Tony D'Angelo vs. Charlie Dempsey, Damon Kemp & Myles Borne",6.58,110,NA,"Channing Lorenzo, Luca Crusifino & Tony D'Angelo","Charlie Dempsey, Damon Kemp & Myles Borne"
6460,2024-04-23,"WWE","Blair Davenport vs. Sol Ruca",7.26,148,NA,"Blair Davenport","Sol Ruca"
6459,2024-04-23,"WWE","Baron Corbin vs. Lexis King",5.27,100,NA,"Baron Corbin","Lexis King"
6458,2024-04-23,"WWE","Je'Von Evans vs. Riley Osborne",6.62,7,NA,"Je'Von Evans","Riley Osborne"
6457,2024-04-23,"WWE","Lyra Valkyria vs. Roxanne Perez vs. Tatum Paxley",7.85,190,NA,"Lyra Valkyria","Roxanne Perez, Tatum Paxley,"
6456,2024-04-23,"WWE","Eddy Thorpe vs. Kale Dixon",NA,NA,NA,"Eddy Thorpe","Kale Dixon"
6455,2024-04-23,"WWE","Ilja Dragunov vs. Trick Williams",8.04,243,NA,"Ilja Dragunov","Trick Williams"
6454,2024-04-23,"WWE","Kelani Jordan vs. Kendal Grey",NA,NA,NA,"Kelani Jordan","Kendal Grey"
6453,2024-04-23,"WWE","Dante Chen & Dion Lennox vs. Edris Enofe & Malik Blade",NA,NA,NA,"Dante Chen & Dion Lennox","Edris Enofe & Malik Blade"
6452,2024-04-23,"WWE","Arianna Grace vs. Jakara Jackson",NA,NA,NA,"Arianna Grace","Jakara Jackson"
6451,2024-04-22,"WWE","Brutus Creed & Julius Creed vs. Mark Coffey & Wolfgang",NA,NA,NA,"Brutus Creed & Julius Creed","Mark Coffey & Wolfgang"
6450,2024-04-22,"WWE","Johnny Gargano & Tommaso Ciampa vs. R-Truth & The Miz",6.27,138,NA,"Johnny Gargano & Tommaso Ciampa","R-Truth & The Miz"
6449,2024-04-22,"WWE","Giovanni Vinci & Ludwig Kaiser vs. Kofi Kingston & Xavier Woods",6.01,118,NA,"Giovanni Vinci & Ludwig Kaiser","Kofi Kingston & Xavier Woods"
6448,2024-04-22,"WWE","Sheamus vs. Shinsuke Nakamura",6.73,134,NA,"Sheamus","Shinsuke Nakamura"
6447,2024-04-22,"WWE","Andrade & Ricochet vs. JD McDonagh & Santos Escobar",6.09,109,NA,"Andrade & Ricochet","JD McDonagh & Santos Escobar"
6446,2024-04-22,"WWE","Becky Lynch vs. Candice LeRae vs. Chelsea Green vs. Indi Hartwell vs. Ivy Nile vs. Katana Chance vs. Kayden Carter vs. Liv Morgan vs. Maxxine Dupri vs. Natalya vs. Nia Jax vs. Piper Niven vs. Shayna Baszler vs. Zoey Stark",6.63,162,NA,"Becky Lynch","Candice LeRae, Chelsea Green, Indi Hartwell,Ivy Nile, Katana Chance, Kayden Carter, Liv Morgan, Maxxine Dupri, Natalya, Nia Jax, Piper Niven, Shayna Baszler, Zoey Stark,"
6445,2024-04-19,"WWE","Bayley vs. Naomi",6.06,124,NA,"Bayley","Naomi"
6444,2024-04-19,"WWE","Akam & Rezar vs. Angel    & Berto  vs. Angelo Dawkins & Montez Ford vs. Pete Dunne & Tyler Bate",7.55,149,4.25,"Akam & Rezar","Angel    & Berto, Angelo Dawkins & Montez Ford, Pete Dunne & Tyler Bate,"
6443,2024-04-19,"WWE","AJ Styles vs. LA Knight",6.53,126,3.75,"AJ Styles","LA Knight"
6442,2024-04-19,"WWE","Carlito vs. Santos Escobar",4.5,89,NA,"Carlito","Santos Escobar"
6441,2024-04-16,"WWE","Kale Dixon vs. Riley Osborne",NA,NA,NA,"Kale Dixon","Riley Osborne"
6440,2024-04-16,"WWE","Drake Morreaux & Javier Bernal vs. Hank Walker & Tank Ledger",NA,NA,NA,"Drake Morreaux & Javier Bernal","Hank Walker & Tank Ledger"
6439,2024-04-16,"WWE","Ilja Dragunov vs. Je'Von Evans",7.69,138,NA,"Ilja Dragunov","Je'Von Evans"
6438,2024-04-16,"WWE","Carmelo Hayes vs. Trick Williams",6.75,120,NA,"Carmelo Hayes","Trick Williams"
6437,2024-04-16,"WWE","Dijak vs. Noam Dar",7.45,106,3.5,"Dijak","Noam Dar"
6436,2024-04-15,"WWE","Ludwig Kaiser vs. Otis",NA,NA,NA,"Ludwig Kaiser","Otis"
6435,2024-04-15,"WWE","Ivar vs. Sheamus",6.21,166,NA,"Ivar","Sheamus"
6434,2024-04-15,"WWE","Andrade vs. Dominik Mysterio",6.16,139,NA,"Andrade","Dominik Mysterio"
6433,2024-04-15,"WWE","Finn Balor vs. Jey Uso",5.91,140,NA,"Finn Balor","Jey Uso"
6432,2024-04-15,"WWE","Brutus Creed & Julius Creed vs. Johnny Gargano & Tommaso Ciampa vs. Kofi Kingston & Xavier Woods",7.32,171,3.5,"Brutus Creed & Julius Creed","Johnny Gargano & Tommaso Ciampa, Kofi Kingston & Xavier Woods,"
6431,2024-04-15,"WWE","Chad Gable vs. Sami Zayn",8.22,336,4.5,"Chad Gable","Sami Zayn"
6430,2024-04-12,"WWE","Naomi vs. Tiffany Stratton",5.58,131,NA,"Naomi","Tiffany Stratton"
6429,2024-04-12,"WWE","AJ Styles vs. Kevin Owens vs. Rey Mysterio",7.67,217,3.5,"AJ Styles","Kevin Owens, Rey Mysterio,"
